type,epoch,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7
train,0,1.4803639650344849,3.4236419200897217,0.7372446060180664,0.9517873525619507,1.3387337923049927,1.1796472072601318,0.4905354976654053
train,0,1880.3543177247047,9596.050688147545,1740.2588810920715,2401.205385863781,239.27411848306656,4848.93650329113,513.0039347410202
train,0,1740.490362207095,6429.2165949344635,1208.2320051193237,1859.491090575854,180.79839328924814,3496.390652259191,382.5557059446971
train,0,1330.4360547363758,4824.564587295055,914.1371085643768,1396.2927606999874,138.96291068196297,2641.079392850399,287.9970722794533
train,0,1088.3410770654677,3862.8369187831877,740.5745092391968,1118.4362820386887,117.71829912662506,2128.355788755417,230.9809064388275
train,0,908.7235007484754,3221.449887394905,619.8342172304789,933.1260514855385,98.8797594110171,1775.1460453271866,192.86142575740814
train,0,779.4868672404971,2762.581590073449,532.8618320737567,800.7762941462653,85.20684254169464,1522.365101643971,165.4391474723816
train,0,682.6486826092005,2418.384481161833,467.39035999774933,702.0176223367453,74.81141386926174,1332.3600543141365,144.8003834746778
train,0,606.9258148272833,2150.1504718197716,415.9523761007521,624.9721643527349,66.5273048347897,1184.4276713132858,128.74910171495543
train,0,546.3949967265129,1935.3274391174316,374.60155539512635,563.0840801596642,60.00172843933105,1066.1538613557816,115.92868130505084
train,0,1.8253388404846191,2.0192201137542725,1.5118145942687988,2.314741849899292,0.8127087354660034,0.3928658068180084,0.24384121596813202
train,0,1.6726861000061035,1.9564331769943237,1.1780956089496613,1.6411682665348053,0.8471751511096954,0.570995643734932,0.17416293174028397
train,0,1.5477203925450642,1.6671398083368938,1.0706667304039001,1.621104101339976,1.2272201577822368,0.7592961092789968,0.13090676441788673
train,0,1.4582231938838959,1.511839598417282,0.9886142313480377,1.4021316766738892,1.1922562271356583,0.8191251829266548,0.11965620797127485
train,0,1.4434975624084472,1.4535929441452027,0.9040273666381836,1.2444825410842895,1.0542109608650208,0.8658696949481964,0.12887198850512505
train,0,1.3454098800818126,1.3694032033284504,0.8543828129768372,1.1957831879456837,1.0912701785564423,0.8931803752978643,0.12491560292740662
train,0,1.304369866847992,1.287354324545179,0.912304299218314,1.2733741572925024,1.2324313180787223,0.9839240184852055,0.11830312918339457
train,0,1.2004454098641872,1.284175731241703,0.8772031366825104,1.2083108350634575,1.1989115923643112,0.9620542116463184,0.116304078605026
train,0,1.1932540039221446,1.3080226116710238,0.8674672577116225,1.2234280970361497,1.2032480504777696,0.9738215241167281,0.11187527370121744
train,0,1.2063802570104598,1.295541900396347,0.869224750995636,1.1913825571537018,1.1713921189308167,0.9780854731798172,0.10555263943970203
train,0,0.6721898317337036,0.6236247420310974,0.9997898936271667,1.498947024345398,0.8740138411521912,1.1141438484191895,0.05562399700284004
