type,epoch,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7
train,0,1.6043312549591064,1.3956873416900635,1.2973800897598267,2.1765947341918945,2.215416431427002,1.5066661834716797,0.19415223598480225
train,0,68.79442942142487,1487.332121014595,59.446495831012726,1024.536295413971,80.13181710243225,46.89457607269287,484.23300141096115
train,0,50.83792026837667,997.6447265148163,43.52801024913788,687.8252414067587,83.60749832789104,32.98262437184652,328.33535492420197
train,0,41.260604441165924,751.0102437138557,33.49563029408455,516.7667712569237,68.82015526294708,25.49826216697693,246.55220851302147
train,0,33.82844319343567,602.6057383060455,26.988836240768432,413.93123655319215,57.41590662002564,20.574223017692567,197.32016827464105
train,0,28.43398892879486,503.0634510914485,22.723223249117535,345.3483491738637,49.03929360707601,17.334109902381897,164.46530622740588
train,0,24.52050757408142,431.4635189771652,19.68315420831953,296.14185245547975,42.41602373123169,15.005545582090106,140.98471957125835
train,0,21.618264719843864,377.6942983865738,17.365503296256065,259.36119294911623,37.35702355206013,13.228420116007328,123.3693435927853
train,0,19.348069164488052,335.8035741845767,15.49996495909161,230.62054359912872,33.35899024539523,11.830584420098198,109.6685237346424
train,0,17.520996975898743,302.34863794445994,14.097599512338638,207.68682100772858,30.172186839580537,10.749520683288575,98.702466434706
train,0,0.7690196633338928,0.5218364000320435,0.8521144390106201,0.30717548727989197,0.6013216376304626,0.8103055953979492,0.01715046539902687
train,0,1.0114825069904327,0.7445979118347168,0.7491093873977661,0.5415555685758591,0.48959098756313324,0.8141615688800812,0.010364949121139944
train,0,0.9491727749506632,1.0405272642771404,1.3973671595255535,1.1564145386219025,0.8867232302824656,1.2026674151420593,0.0075608711534490185
train,0,0.9720054864883423,1.0354796350002289,1.259338915348053,0.9592464193701744,0.7385755106806755,1.0858858674764633,0.00688153033843264
train,0,0.9627031207084655,1.0057351469993592,1.2221818923950196,0.9445179641246796,0.7498097836971283,1.1011975884437561,0.006081613758578896
train,0,0.9326770007610321,0.9664392570654551,1.257710297902425,0.9494209637244543,1.0926069766283035,1.113883227109909,0.005482358741573989
train,0,0.9047036341258458,0.9653043065752301,1.2324316842215401,0.9370020244802747,1.0526901696409499,1.0937188352857317,0.004888392685513411
train,0,0.8982909023761749,0.9488234743475914,1.159222550690174,0.9297501780092716,0.9617611914873123,1.0628590062260628,0.004472840373637155
train,0,0.8815199666553073,0.9296597573492262,1.1055376066101923,0.9321111142635345,0.9440700080659654,1.0372123718261719,0.004068535920749936
train,0,0.8966174840927124,0.9382336437702179,1.0944797098636627,0.9533808797597885,0.9537192702293396,1.0323088109493255,0.003924356016796082
train,0,1.2302443981170654,1.1540441513061523,0.989389181137085,0.9415072798728943,0.8021346926689148,0.8328028321266174,0.0021236822940409184
train,0,1.0859437882900238,1.0235971212387085,0.7671948671340942,0.5806106925010681,0.4947231039404869,0.641461193561554,0.002144623431377113
train,0,1.322408099969228,1.0772014061609905,0.8895729382832845,0.6428995728492737,0.7900614490111669,0.8058202266693115,0.0024266631032029786
train,0,1.306106373667717,1.0959457457065582,0.9446271061897278,0.8540029376745224,0.8415701650083065,0.8521252125501633,0.002442548342514783
train,0,1.2545628428459168,1.111647868156433,1.008165955543518,0.8539895296096802,1.0668178290128707,0.9201377272605896,0.002775981416925788
train,0,1.209311415751775,1.0427843034267426,0.8670307969053587,0.7529654204845428,0.8998435512185097,0.8046765724817911,0.0030849487132703266
